"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274590029614047232","","","","","2012-11-30 19:05:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Jetzt auch f?r Safari: http://t.co/4VJheCRE

?@qrios: Extension f?r Chrome: Leistungssch?tzer ausblenden http://t.co/wUaz7n8a #lsr?","http://www.stefanseiz.com/lsr/","http://qrios.de/2012/11/extension-fur-chrome-leistungsschutzer-ausblenden/"
"267595506350432256","267442109966086144","928881","","","2012-11-11 11:51:55 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@baranek Kontra: http://t.co/VPIpz8us","http://www.youtube.com/watch?v=xIJg45ZRZAE"
"267220647812427777","267203016157974528","14510685","","","2012-11-10 11:02:21 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",".@erikschimmel Da hat denen wohl jemand die neue Socialmediabrechstange verkauft."
"267220042020696064","267199440304095232","928881","","","2012-11-10 10:59:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@baranek Mahlzeit!"
"266958455510818817","266957987619414016","12948892","","","2012-11-09 17:40:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@web_martin kannst Du mir nen guten Gund nennen, warum das in USA vom ? TV per iCloud geht und in DE nicht? #wtf"
"266956446544044033","","","","","2012-11-09 17:32:31 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","G?nne mir auch mal die 1. Staffel Homeland. Allerdings schon abenteuerlich, dass ich das in .de alles ohne iCloud/?TV lokal downloaden muss."
"266578783144919041","266559309972918272","928881","","","2012-11-08 16:31:49 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@baranek aber hallo!"
"266287351641296897","266275281482952704","19582762","","","2012-11-07 21:13:46 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@YvonneSim w?rde sagen, da greift das M?del der Zeit etwas vor. 
#erbschaft"
"266286414474379264","266272163269582848","7907312","","","2012-11-07 21:10:03 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@uknaus den hab ich vor ner Weile schon gesehen. Voller Facepalm."
"266285928274853888","","","","","2012-11-07 21:08:07 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Mute Filter mal aktualisieren. Aus Gr?nden. http://t.co/OvGGrEKl","http://twitpic.com/bb6y9x"
"266284745896370178","266264816589619200","928881","","","2012-11-07 21:03:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@baranek wenn das nur nicht so teuer w?re in DE. Oder gar leihbar. Wer will schon TV Serien kaufen. Wtf."
"266284186892115968","266264086197719043","5301952","","","2012-11-07 21:01:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@fachatc Prust!"
"266283817730457600","266258858454941696","16745703","","","2012-11-07 20:59:44 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@x34dash ?bersetzerin?"
"266283372739981313","","","","","2012-11-07 20:57:58 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Signed, sealed, delivered. Thanks @BarackObama for a great victory song and a much better outcome for the world, compared to the other dude."
"266279594087288832","266257390075269121","7907312","","","2012-11-07 20:42:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@uknaus was ist das? Das Unverm?gen, Austern zu m?gen?"
"266278752017862658","266278619851132930","15003368","","","2012-11-07 20:39:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@saimalkan gerne."
"266278634585739264","","","","","2012-11-07 20:39:08 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Sylvester beim @erikschimmel, count me in!"
"266278309409734656","266249266849280001","15003368","","","2012-11-07 20:37:50 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@saimalkan n?scht und n?scht."
"266277988079923200","266241657798795264","48651888","","","2012-11-07 20:36:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@sandrakarner Oder eben gar nicht ;)"
"265892410729570307","","","","","2012-11-06 19:04:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Der Herr Romney macht so kleine Schrittchen. Ob der nen Kimono drunter tr?gt?"
"265889987382349825","265888226349285377","74170119","","","2012-11-06 18:54:47 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@zatrix23 Wow, 83 f?r Strom und Heizung, das ist g?nstig. Danke Dir."
"265885895310315520","265885512391327744","14510685","","","2012-11-06 18:38:32 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel ja, ist alt, schlecht isoliert, El. Nachtspeicher Heizung und Wasser per El. Boiler. Kommt wohl hin. Danke!"
"265883283500449792","","","","","2012-11-06 18:28:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Mal ne Frage in die Runde. Was habt Ihr so an Strom und Heiznebenkosten? 
Sind 250,-/Monat f?r ein H?uschen mit ca. 140m? viel?"
"265509676295286784","265499149431103488","18340955","","","2012-11-05 17:43:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@SuGGuS muss man sich Sorgen machen?"
"265415468532256768","265408517752639489","15674759","","","2012-11-05 11:29:13 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@pingdom I could bet though, some users will say ?My Card looks different, can i still use it?? ;-) #toorealistic?"
"265414697203949568","265408517752639489","15674759","","","2012-11-05 11:26:09 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@pingdom Nice, as long as the 4 fields still allow a complete number to be copied and pasted in there (e.g. from 1 Password)."
"265181243828760577","","","","","2012-11-04 19:58:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Polizeiruf ist der bessere #Tatort."
"265016173878456320","264987054558031872","13257382","","","2012-11-04 09:02:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@mhenders Hey, so you?re just around the corner. Have a good one! On my way from Strassbourg to Freiburg today."
"264845375037378560","","","264817368725864448","33423","2012-11-03 21:43:52 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @gruber: ?Perfect Martini? recipe with which I strongly disagree, but must admit produces splendid results: http://t.co/ZI3myQgy","http://www.toothpastefordinner.com/102812/the-perfect-martini.gif"
"264845330632298496","264844900267339776","14611181","","","2012-11-03 21:43:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@mcmatten ist ja auch nur gegen das Staasensalz, also im Fall der F?lle. Trinken tue ich auch lieber das: http://t.co/KopvazCt","http://www.toothpastefordinner.com/102812/the-perfect-martini.gif"
"264844718263918592","264844593445617666","14611181","","","2012-11-03 21:41:16 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@mcmatten ohne beides ;)"
"264844595857338369","","","","","2012-11-03 21:40:46 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Daf?r hat er am Montag wieder nen funktionierenden Thermostat. Und nen Wischwasserbeh?lter gleich dazu."
"264844218382577664","","","","","2012-11-03 21:39:16 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Mein neuer Wagen hatte gar keinen Scheibenwischwasserbeh?lter. Kein Wunder hab ich den auch nach 90 Min. Suchen nicht gefunden. #vollpfosten"
"264721379885199360","","","","","2012-11-03 13:31:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Sch?n hier &amp; ? Maps sind cachebar! http://t.co/x5b7FFST http://t.co/mlC16woh http://t.co/yDzLiUMr http://t.co/Zxucd4Af http://t.co/LKKFVr6R","http://twitpic.com/b9ygwn","http://twitpic.com/b9yh0j","http://twitpic.com/b9yh52","http://twitpic.com/b9yh8x","http://twitpic.com/b9yhcu"
"264680127865163776","","","","","2012-11-03 10:47:14 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Insane. Inside The Deep Web: http://t.co/UWzatllV","http://bit.ly/Sn7pUi"
"264654291753644032","","","","","2012-11-03 09:04:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Kinder lehren sich selbst. http://t.co/I9l166cv","http://bit.ly/RxrTMo"
"264456517418373120","264404811561201664","15753084","","","2012-11-02 19:58:41 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@cruiser607 was f?r ein h?llen UI"
"264334517735669760","","","","","2012-11-02 11:53:54 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Nase: http://t.co/RKORqVIB","http://twitpic.com/b9m21m"
"264275977314631680","264264968550100992","16745703","","","2012-11-02 08:01:17 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@x34dash gro?artiges Album. Eine wahre Perle der Musikgeschichte. Sowas hab ich leider nur auf Vinyl."
"264267755040174080","264266820922519553","98237748","","","2012-11-02 07:28:37 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",".@TonyStarzz what? I am pretty alive!"
"264119128070176768","","","","","2012-11-01 21:38:01 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Hervorragend gegessen. Und dann zum kr?nenden Abschluss des Tages das: http://t.co/MZTUNE2y","http://twitpic.com/b9gj9e"
"264068579924787200","","","","","2012-11-01 18:17:10 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Auch noch schlechtes WLAN und dadurch doppelte tweets. Tage wie dieser. Aber jetzt erst mal sch?n Els?ssisch essen. Kann nur besser werden."
"264065901953970176","264063252273704960","14510685","","","2012-11-01 18:06:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel das Auto m?sste mittlerweile bereits auf seinem Hof stehen. Kann er dann morgen gleich reparieren."
"264064050974048257","264063252273704960","14510685","","","2012-11-01 17:59:10 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel ja, und das Auto m?sste mittlerweile bereits auf seinem Hof stehen."
"264059756417777664","264059273275928576","16346511","","","2012-11-01 17:42:06 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@heinzkamke C?est la vie. Ist aber wohl nur der Thermostat oder die Wasserpumpe."
"264058658726477824","264058132316164096","16346511","","","2012-11-01 17:37:44 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@heinzkamke ist OK. Dumm nur, das ich das kaputte Auto gestern erst gekauft hatte (gebraucht) ;)"
"264057488117223424","","","","","2012-11-01 17:33:05 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Stuttgart Stra?burg, 6 Stunden, 2 PKW. Der aktuelle, vom ADAC geliehen. Zum Gl?ck ist die Frau Mitglied in dem Club."
