"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"139738935642423297","139734686653104130","15753084","","","2011-11-24 16:15:33 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@cruiser607 Foto von der Queen or it didn't happen ;-)"
"139738742113054721","139731892692987906","5301952","","","2011-11-24 16:14:46 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@fachatc Du hattest mich inspiriert ;-) Finde dererlei 4sq tweets aber allgemein recht sinnfrei."
"139682386832130050","","","","","2011-11-24 12:30:50 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Hey, da hat eben ein Daimler Mitarbeiter auf 4sqare bei Daimler eingecheckt. Eigenartig."
"139458970023763970","139457797971644417","13217612","","","2011-11-23 21:43:04 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@chuq I've been thinking about you and your position there at palm lately. Hoping, everything is ok."
"139457743764471808","139454844120473600","13217612","","","2011-11-23 21:38:11 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@chuq dang, you are famous ;)"
"139420105552568321","139414888564006912","15753084","","","2011-11-23 19:08:38 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@cruiser607 Zum Gl?ck war Dein Arm lange genug ;-)"
"139365711410761728","","","","","2011-11-23 15:32:29 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","When did it start, that conferences want you to buy tickets, before they even published a complete schedule and speakers list?"
"139299981621338112","139230913765707776","13257382","","","2011-11-23 11:11:18 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@mhenders wouldn't restoring from backup and touching the files again fix that?"
"139108781819826177","139086485826715649","13257382","","","2011-11-22 22:31:32 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@mhenders TimeMachine backup?"
"139057000951726080","139056724580630528","14070881","","","2011-11-22 19:05:47 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jdriscoll I meant if they control your phone, things will start to get scary."
"139056603986014208","139036575198748672","14070881","","","2011-11-22 19:04:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jdriscoll and we've seen how great ""HTML5 as a platform for apps"" worked out on the initial iFon."
"139056217183109120","139036575198748672","14070881","","","2011-11-22 19:02:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jdriscoll scares the shit out of me. ""Every step you take, every move you make?"", Facebook is tracking you?"
"138942869422604289","138942177773486080","15003368","","","2011-11-22 11:32:16 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@saimalkan Kein Schlumpf ;-) Nur Vorbereitung f?r den http://t.co/FxCfnTr8","http://www.zeldman.com/2011/11/08/5th-annual-blue-beanie-day-is-november-30-2011/"
"138936719268528128","138933849609613312","15003368","","","2011-11-22 11:07:49 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@saimalkan Evtl. kann ich helfen?"
"138910305366450176","","","","","2011-11-22 09:22:52 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","Wenn Marketing-Texte sich r?chen. ROFL: http://t.co/gm8otExr","http://twitpic.com/7hrgga"
"138722747181309952","138722123949682688","7907312","","","2011-11-21 20:57:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@uknaus V-M?nnInen?"
"138722477076516864","138722252668669953","8783762","","","2011-11-21 20:56:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@markus_siepmann Beileid bekundet."
"138722255021682690","138722005280231424","8783762","","","2011-11-21 20:55:37 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@markus_siepmann muss ich morgen mal die Kollegen fragen. Meins hatte ja eins ab Werk."
"138721721569116160","138715542520479744","8783762","","","2011-11-21 20:53:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@markus_siepmann einen Mac f?hrt man nicht hoch. Den weckt man mal eben ;) Pl?diere aber f?r ""egal"""
"138721079043690496","","","138711309104594946","14749606","2011-11-21 20:50:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @Dropbox: A guide on how to get more free space with Dropbox! http://t.co/nIjwo0nM Retweet for a chance to get +100GB!","http://bit.ly/twQLKP"
"138720125250576384","","57350105","","","2011-11-21 20:47:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@ZDFonline Kompliment an die CutterIn vom ""keine Worte"" Trailer. Erstklassige Arbeit!"
"138363894187036672","138357071312723968","19582762","","","2011-11-20 21:11:37 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@YvonneSim der war gut. Das neue Frankfurt Team rockt!"
"138270178436841473","138206167406084097","6085542","","","2011-11-20 14:59:14 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@Rozana mach mit ein Angebot, das ich nicht ablehnen kann."
"138269226703138817","","","","","2011-11-20 14:55:27 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Heaven.   @ Golfpark G?ppingen http://t.co/PvduyZTr","http://instagr.am/p/U_YMm/"
"138201614317142016","138182859084152832","14510685","","","2011-11-20 10:26:47 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel und, ?berlebt?"
"138031932582801408","","","","","2011-11-19 23:12:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Die Gans war sehr gut, der Williams jedoch ?berragend. Im ""Schnakenstich"" in Hochdorf."
"138031065276219393","138030578757931009","19582762","","","2011-11-19 23:09:05 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@YvonneSim also ? erste dieses Jahr?"
"138030767145103363","138030578757931009","19582762","","","2011-11-19 23:07:54 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@YvonneSim 1. wie in Erste. Eine reicht mir am Abend."
"138030211408207872","","","","","2011-11-19 23:05:41 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","1. Gans erfolgreich vereinnahmt und mit Willi nachgesp?lt."
"137937076850143232","137847032764305408","9401452","","","2011-11-19 16:55:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@lgxxl packstation FTW!"
"137609124526555136","","132887845","","","2011-11-18 19:12:26 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@trackrecordapp Nice, my mac just kernel panicked and i lost hours of Timing again. You should really start to save timers more frequently!"
"137556064005652480","","","","","2011-11-18 15:41:35 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Schluss mit Lustig. Tut mir ja leid um die M?use und mein Karma, aber das muss sein. http://t.co/4Q6C3TUq","http://lockerz.com/s/157248203"
"137493592905228288","137456669163651072","15003368","","","2011-11-18 11:33:21 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@saimalkan wenn ich nur Zeit h?tte?"
"137460095658373120","","","137452713171623936","19045458","2011-11-18 09:20:15 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","RT @espiekermann: Goodbye 70s: Free Erler Dingbats Unicode Font Released.

http://t.co/RvNTGYqc","http://bit.ly/uum3DB"
"137458581241999360","137440709664976896","15181260","","","2011-11-18 09:14:14 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@aleks_be aha, da wird kurz vor der Abstimmung noch was aus dem Hut gezaubert?"
"137455412017512448","137436569354244096","1160081","","","2011-11-18 09:01:38 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific for Mac</a>","@dentaku Du f?ngst ja praktischer Weise an einem Freitag wieder an. Das ist clever!"
